[2025-12-17 03:49:46] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:47] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:48] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:49] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:52:13] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:14] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:16] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:17] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:18] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:19] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:20] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:21] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:22] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:23] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:24] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:25] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:26] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:27] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:28] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:29] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:30] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:31] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:32] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:33] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:34] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:35] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:36] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:37] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:39] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:40] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:41] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:42] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:43] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:44] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:45] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:46] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:47] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:48] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:50] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:51] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:52] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:52] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:53] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:54] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:52:55] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:56] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
